Date,ConfirmedCases
8/14/2021,36789501
8/15/2021,36836318
8/16/2021,37030487
8/17/2021,37181097
8/18/2021,37348711
8/19/2021,37503892
8/20/2021,37743056
8/21/2021,37835339
8/22/2021,37879553
8/23/2021,38087506
8/24/2021,38242004
8/25/2021,38420972
8/26/2021,38604812
8/27/2021,38843416
8/28/2021,38922498
8/29/2021,38974539
8/30/2021,39203376
8/31/2021,39383380
9/1/2021,39573822
9/2/2021,39753041
9/3/2021,39988457
9/4/2021,40074655
9/5/2021,40138183
9/6/2021,40231788
9/7/2021,40440598
9/8/2021,40617536
9/9/2021,40783947
9/10/2021,41026104
9/11/2021,41115516
9/12/2021,41163888
9/13/2021,41374479
9/14/2021,41519314
9/15/2021,41692929
9/16/2021,41851787
9/17/2021,42062640
9/18/2021,42137897
9/19/2021,42182744
9/20/2021,42354125
9/21/2021,42475842
9/22/2021,42607201
9/23/2021,42736355
9/24/2021,42911114
9/25/2021,42971966
9/26/2021,43026345
9/27/2021,43181624
9/28/2021,43294434
9/29/2021,43415876
9/30/2021,43526374
10/1/2021,43681142
10/2/2021,43729789
10/3/2021,43774554
10/4/2021,43916887
10/5/2021,44012158
10/6/2021,44124434
10/7/2021,44225969
10/8/2021,44357532
10/9/2021,44396636
10/10/2021,44436345
10/11/2021,44531929
10/12/2021,44642582
10/13/2021,44751068
10/14/2021,44838066
10/15/2021,44947574
10/16/2021,44987657
10/17/2021,45019321
10/18/2021,45117729
10/19/2021,45199779
10/20/2021,45291423
10/21/2021,45369455
10/22/2021,45465500
10/23/2021,45498124
10/24/2021,45517276
10/25/2021,45629354
10/26/2021,45696101
10/27/2021,45798632
10/28/2021,45873862
10/29/2021,45968965
10/30/2021,46003473
10/31/2021,46035938
11/1/2021,46148690
11/2/2021,46217437
11/3/2021,46303077
11/4/2021,46384549
11/5/2021,46481374
11/6/2021,46516636
11/7/2021,46553495
11/8/2021,46663617
11/9/2021,46742115
11/10/2021,46837200
11/11/2021,46895063
11/12/2021,47038465
11/13/2021,47082707
11/14/2021,47114634
11/15/2021,47248084
11/16/2021,47335498
11/17/2021,47448315
11/18/2021,47558319
11/19/2021,47685164
11/20/2021,47730801
11/21/2021,47770613
11/22/2021,47914782
11/23/2021,48006261
11/24/2021,48117657
11/25/2021,48157510
11/26/2021,48210729
11/27/2021,48237428
11/28/2021,48280631
11/29/2021,48466227
11/30/2021,48583482
12/1/2021,48720676
12/2/2021,48859590
12/3/2021,49018281
12/4/2021,49084911
12/5/2021,49140144
12/6/2021,49317382
12/7/2021,49430741
12/8/2021,49580726
12/9/2021,49705274
12/10/2021,49863441
12/11/2021,49920272
12/12/2021,49972604
12/13/2021,50157681
12/14/2021,50272823
12/15/2021,50416473
12/16/2021,50558285
12/17/2021,50750991
12/18/2021,50830763
12/19/2021,50920124
12/20/2021,51159833
12/21/2021,51339275
12/22/2021,51582990
12/23/2021,51852743
12/24/2021,52101484
12/25/2021,52188231
12/26/2021,52366551
12/27/2021,52866802
12/28/2021,53228582
12/29/2021,53730537
12/30/2021,54321147
12/31/2021,54835075
1/1/2022,55024085
1/2/2022,55309753
1/3/2022,56353729
1/4/2022,57165588
1/5/2022,57828181
1/6/2022,58662970
1/7/2022,59532796
