UID,Country_Region,Date,ConfirmedCases,Fatalities
84012131,US,3/6/21,11105681,186724
84012133,US,3/7/21,11119964,186947
84013001,US,3/8/21,11134242,187197
84013003,US,3/9/21,11149953,187748
84013005,US,3/10/21,11167175,188344
84013007,US,3/11/21,11186740,189044
84013009,US,3/12/21,11206267,189588
84013011,US,3/13/21,11220222,190016
84013013,US,3/14/21,11232066,190192
84013015,US,3/15/21,11248083,190438
84013017,US,3/16/21,11262906,190873
84013019,US,3/17/21,11278959,191317
84013021,US,3/18/21,11297455,191880
84013023,US,3/19/21,11315842,192203
84013025,US,3/20/21,11332400,192483
84013027,US,3/21/21,11344346,192995
84013029,US,3/22/21,11356851,193169
84013031,US,3/23/21,11372346,193610
84013033,US,3/24/21,11390494,194102
84013035,US,3/25/21,11408672,194678
84013037,US,3/26/21,11428891,195292
84013039,US,3/27/21,11446405,195680
84013043,US,3/28/21,11460054,195841
84013045,US,3/29/21,11474989,196019
84013047,US,3/30/21,11491547,196350
84013049,US,3/31/21,11509148,196776
84013051,US,4/1/21,11530374,197165
84013053,US,4/2/21,11553396,197594
84013055,US,4/3/21,11569549,197836
84013057,US,4/4/21,11582489,197929
84013059,US,4/5/21,11598455,198042
84013061,US,4/6/21,11615422,198287
84013063,US,4/7/21,11635240,198597
84013065,US,4/8/21,11657701,199037
84013067,US,4/9/21,11683230,199401
84013069,US,4/10/21,11705167,199702
84013071,US,4/11/21,11721378,199778
84013073,US,4/12/21,11735335,199911
84013075,US,4/13/21,11759000,200202
84013077,US,4/14/21,11780457,200528
84013079,US,4/15/21,11800523,200861
84013081,US,4/16/21,11823402,201209
84013083,US,4/17/21,11842942,201493
84013085,US,4/18/21,11859113,201594
84013089,US,4/19/21,11873918,201715
84013087,US,4/20/21,11892074,201967
84013091,US,4/21/21,11909940,202255
84013093,US,4/22/21,11930054,202585
84013095,US,4/23/21,11948003,202851
84013097,US,4/24/21,11966758,203119
84013099,US,4/25/21,11980217,203231
84013101,US,4/26/21,11994527,203388
84013103,US,4/27/21,12010591,203568
84013105,US,4/28/21,12026469,203920
84013107,US,4/29/21,12045702,204248
84013109,US,4/30/21,12064150,204612
84013111,US,5/1/21,12080904,204913
84013113,US,5/2/21,12092698,205036
84013115,US,5/3/21,12104985,205151
84013117,US,5/4/21,12117863,205407
84013119,US,5/5/21,12132782,205673
84013121,US,5/6/21,12148288,205966
84013123,US,5/7/21,12163959,206347
84013125,US,5/8/21,12176976,206580
84013127,US,5/9/21,12186822,206681
84013129,US,5/10/21,12196004,206778
84013131,US,5/11/21,12207234,206982
84013133,US,5/12/21,12218420,207218
84013135,US,5/13/21,12232964,207438
84013137,US,5/14/21,12250635,207700
84013139,US,5/15/21,12262471,207927
84013141,US,5/16/21,12270140,208010
84013143,US,5/17/21,12277500,208128
84013145,US,5/18/21,12286550,208375
84013147,US,5/19/21,12297525,208597
84013149,US,5/20/21,12308170,208866
84013151,US,5/21/21,12317490,209168
84013153,US,5/22/21,12326679,209357
84013155,US,5/23/21,12332865,209422
84013157,US,5/24/21,12338719,209491
84013159,US,5/25/21,12346812,209731
84013161,US,5/26/21,12355343,209941
84013163,US,5/27/21,12367652,210316
84013165,US,5/28/21,12375971,210481
84013167,US,5/29/21,12380570,210612
